"metric","category","clip_id","method","status","reason"
"detail","weak_border","weak_border_05","optical_flow","ok",
"detail","weak_border","weak_border_05","proposed","ok",
"detail","weak_border","weak_border_06","frame_wise","ok",
"detail","weak_border","weak_border_06","optical_flow","ok",
"detail","weak_border","weak_border_06","proposed","ok",
"detail","weak_border","weak_border_07","frame_wise","ok",
"detail","weak_border","weak_border_07","optical_flow","ok",
"detail","weak_border","weak_border_07","proposed","ok",
"detail","weak_border","weak_border_08","frame_wise","ok",
"detail","weak_border","weak_border_08","optical_flow","ok",
"detail","weak_border","weak_border_08","proposed","ok",
"detail","weak_border","weak_border_09","frame_wise","ok",
"detail","weak_border","weak_border_09","optical_flow","ok",
"detail","weak_border","weak_border_09","proposed","ok",
"detail","weak_border","weak_border_10","frame_wise","ok",
"detail","weak_border","weak_border_10","optical_flow","ok",
"detail","weak_border","weak_border_10","proposed","ok",
"frequency","hard","hard_01","frame_wise","ok",
"frequency","hard","hard_01","optical_flow","ok",
"frequency","hard","hard_01","proposed","ok",
"frequency","hard","hard_02","frame_wise","ok",
"frequency","hard","hard_02","optical_flow","ok",
"frequency","hard","hard_02","proposed","ok",
"frequency","hard","hard_03","frame_wise","ok",
"frequency","hard","hard_03","optical_flow","ok",
"frequency","hard","hard_03","proposed","ok",
"frequency","hard","hard_04","frame_wise","ok",
"frequency","hard","hard_04","optical_flow","ok",
"frequency","hard","hard_04","proposed","ok",
"frequency","hard","hard_05","frame_wise","ok",
"frequency","hard","hard_05","optical_flow","ok",
"frequency","hard","hard_05","proposed","ok",
"frequency","hard","hard_06","frame_wise","ok",
"frequency","hard","hard_06","optical_flow","ok",
"frequency","hard","hard_06","proposed","ok",
"frequency","hard","hard_07","frame_wise","ok",
"frequency","hard","hard_07","optical_flow","ok",
"frequency","hard","hard_07","proposed","ok",
"frequency","hard","hard_08","frame_wise","ok",
"frequency","hard","hard_08","optical_flow","ok",
"frequency","hard","hard_08","proposed","ok",
"frequency","hard","hard_09","frame_wise","ok",
"frequency","hard","hard_09","optical_flow","ok",
"frequency","hard","hard_09","proposed","ok",
"frequency","hard","hard_10","frame_wise","ok",
"frequency","hard","hard_10","optical_flow","ok",
"frequency","hard","hard_10","proposed","ok",
"frequency","screen_video","screen_video_01","frame_wise","ok",
"frequency","screen_video","screen_video_01","optical_flow","ok",
"frequency","screen_video","screen_video_01","proposed","ok",
"frequency","screen_video","screen_video_02","frame_wise","ok",
"frequency","screen_video","screen_video_02","optical_flow","ok",
"frequency","screen_video","screen_video_02","proposed","ok",
"frequency","screen_video","screen_video_03","frame_wise","ok",
"frequency","screen_video","screen_video_03","optical_flow","ok",
"frequency","screen_video","screen_video_03","proposed","ok",
"frequency","screen_video","screen_video_04","frame_wise","ok",
"frequency","screen_video","screen_video_04","optical_flow","ok",
"frequency","screen_video","screen_video_04","proposed","ok",
"frequency","screen_video","screen_video_05","frame_wise","ok",
"frequency","screen_video","screen_video_05","optical_flow","ok",
"frequency","screen_video","screen_video_05","proposed","ok",
"frequency","screen_video","screen_video_06","frame_wise","ok",
"frequency","screen_video","screen_video_06","optical_flow","ok",
"frequency","screen_video","screen_video_06","proposed","ok",
"frequency","screen_video","screen_video_07","frame_wise","ok",
"frequency","screen_video","screen_video_07","optical_flow","ok",
"frequency","screen_video","screen_video_07","proposed","ok",
"frequency","screen_video","screen_video_08","frame_wise","ok",
"frequency","screen_video","screen_video_08","optical_flow","ok",
"frequency","screen_video","screen_video_08","proposed","ok",
"frequency","screen_video","screen_video_09","frame_wise","ok",
"frequency","screen_video","screen_video_09","optical_flow","ok",
"frequency","screen_video","screen_video_09","proposed","ok",
"frequency","screen_video","screen_video_10","frame_wise","ok",
"frequency","screen_video","screen_video_10","optical_flow","ok",
"frequency","screen_video","screen_video_10","proposed","ok",
"frequency","scrolling","scrolling_01","frame_wise","ok",
"frequency","scrolling","scrolling_01","optical_flow","ok",
"frequency","scrolling","scrolling_01","proposed","ok",
"frequency","scrolling","scrolling_02","frame_wise","ok",
"frequency","scrolling","scrolling_02","optical_flow","ok",
"frequency","scrolling","scrolling_02","proposed","ok",
"frequency","scrolling","scrolling_03","frame_wise","ok",
"frequency","scrolling","scrolling_03","optical_flow","ok",
"frequency","scrolling","scrolling_03","proposed","ok",
"frequency","scrolling","scrolling_04","frame_wise","ok",
"frequency","scrolling","scrolling_04","optical_flow","ok",
"frequency","scrolling","scrolling_04","proposed","ok",
"frequency","scrolling","scrolling_05","frame_wise","ok",
"frequency","scrolling","scrolling_05","optical_flow","ok",
"frequency","scrolling","scrolling_05","proposed","ok",
"frequency","scrolling","scrolling_06","frame_wise","ok",
"frequency","scrolling","scrolling_06","optical_flow","ok",
"frequency","scrolling","scrolling_06","proposed","ok",
"frequency","scrolling","scrolling_07","frame_wise","ok",
"frequency","scrolling","scrolling_07","optical_flow","ok",
"frequency","scrolling","scrolling_07","proposed","ok",
"frequency","scrolling","scrolling_08","frame_wise","ok",
"frequency","scrolling","scrolling_08","optical_flow","ok",
"frequency","scrolling","scrolling_08","proposed","ok",
"frequency","scrolling","scrolling_09","frame_wise","ok",
"frequency","scrolling","scrolling_09","optical_flow","ok",
"frequency","scrolling","scrolling_09","proposed","ok",
"frequency","scrolling","scrolling_10","frame_wise","ok",
"frequency","scrolling","scrolling_10","optical_flow","ok",
"frequency","scrolling","scrolling_10","proposed","ok",
"frequency","static","static_01","frame_wise","ok",
"frequency","static","static_01","optical_flow","ok",
